name,name_short,name_tv,gender,function,country_code,country,,nationality,height,,disciplines,events,birth_date,birth_place,birth_country,residence_place,,state,
PARATTU RAVEENDRAN Sreejesh,PARATTU RAVEENDRAN,Sreejesh PARATTU RAVEENDRAN,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],08-05-1988,ERNAKULAM,India,CHENNAI,,KERELA,
SINGH Harmanpreet,SINGH H,Harmanpreet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],06-01-1996,AMRITSAR,India,AMRITSAR,,PUNJAB,
SINGH Jarmanpreet,SINGH J,Jarmanpreet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],18-07-1996,AMRITSAR,India,JALANDHAR,,PUNJAB,
SINGH Hardik,SINGH H,Hardik SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],23-09-1998,KHUSROPUR,India,,,PUNJAB,
PRASAD Vivek Sagar,PRASAD VS,Vivek Sagar PRASAD,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],25-02-2000,ITARSI,India,BHOPAL,,MP,
SINGH Mandee,SINGH M,Mandeep SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],25-01-1995,JALANDHAR,India,JALANDHAR,,PUNJAB,
SINGH Shamsher,SINGH S,Shamsher SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],29-07-1997,ATTARI,India,AMRITSAR,,PUNJAB,
ABHISHEK Abhishek,ABHISHEK A,Abhishek ABHISHEK,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],15-08-1999,SONIPAT,India,,,HARYANA,
UPADHYAY Lalit Kumar,UPADHYAY LK,Lalit Kumar UPADHYAY,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],01-12-1993,VARANASI,India,MUMBAI,,UP,
PAL Raj Kumar,PAL RK,Raj Kumar PAL,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],01-05-1998,KARAMPUR,India,,,UP,
SINGH Sukhjeet,SINGH S,Sukhjeet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],05-12-1996,JALANDHAR,India,,,PUNJAB,
ROHIDAS Amit,ROHIDAS A,Amit ROHIDAS,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],10-05-1993,SAUNAMARA,India,MUMBAI,,MAHARASHTRA,
SINGH Gurjant,SINGH G,Gurjant SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],26-01-1995,AMRITSAR,India,CHANDIGARH,,PUNJAB,
SINGH Manpreet,SINGH M,Manpreet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],26-06-1992,JALANDHAR,India,JALANDHAR,,PUNJAB,
SANJAY Sanjay,SANJAY S,Sanjay SANJAY,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],05-05-2001,"DIBRA, HARYANA",India,,,HARYANA,
SUMIT Sumit,SUMIT S,Sumit SUMIT,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],20-12-1996,SONIPAT,India,,,HARYANA,
